ID,AN3,AN4,AN5,AN6,AN7,AN8,AN9,AN10,SPEED,TORQUE,TIMESTAMP,status
602.0,1.5467,5.1595,7.0336,4.9044,3.626,4.9201,7.8506,-1.1856,3.600137300109093E-4,null,2020-06-09T11:54:40.000Z,damaged
332.0,0.39142,0.84478,0.65705,-3.8159,-1.4029,2.8065,-1.0157,-2.7485,6.2644E-4,null,2020-05-22T02:05:50.000Z,healthy
291.0,1.205,-0.75448,0.23066,0.076073,-0.92782,0.14634,1.3985,-0.88608,5.9172E-4,null,2020-05-12T10:58:21.000Z,healthy
141.0,-1.0207,3.3005,-1.3399,2.0801,-4.331,-2.827,0.20532,-0.90873,6.1358E-4,null,2020-05-25T06:56:53.000Z,healthy
25.0,-0.30707,2.738,1.3811,-0.14767,3.4284,-7.305,-1.5751,-0.10961,5.9043E-4,null,2020-05-29T08:58:00.000Z,healthy
320.0,-2.208,-0.613,-0.0055438,-4.6386,4.8789,-5.4618,-0.080205,1.6003,6.1358E-4,null,2020-05-13T09:44:38.000Z,healthy
366.0,-2.5477,3.0969,1.0832,-0.65128,-3.6703,5.9994,1.0882,1.2254,6.2387E-4,null,2020-05-18T07:00:47.000Z,healthy
387.0,-2.1167,-2.9395,0.55221,3.4455,-0.14629,4.2796,1.2655,-0.57829,6.6117E-4,null,2020-05-10T13:45:11.000Z,healthy
595.0,1.7377,-2.1218,2.3327,3.7135,-3.4789,20.72,3.4341,-2.505,7.18445012503964E-4,null,2020-06-09T11:54:33.000Z,damaged
452.0,1.6641,0.80513,0.20111,0.55755,-4.4478,-4.8698,-3.8947,-2.8993,5.7113E-4,null,2020-05-25T07:45:24.000Z,healthy
707.0,4.0779,-3.3471,8.0852,1.3133,-4.4298,-13.976,2.8384,-1.4486,3.20573147541074E-4,null,2020-06-09T11:56:25.000Z,damaged
322.0,0.17012,-0.16354,-2.5053,4.1085,-6.4472,7.6917,-0.19524,-2.1648,6.0071E-4,null,2020-06-05T01:39:20.000Z,healthy
552.0,-0.60896,-2.6037,0.77146,0.20197,1.8792,6.433,2.2116,-2.9063,7.457332636787769E-4,null,2020-06-09T11:53:50.000Z,damaged
