key,value
19917.0,"{""AN3"":4.5812,""AN4"":-1.4952,""AN5"":-0.076387,""AN6"":8.5639,""AN7"":-6.6103,""AN8"":-8.39,""AN9"":-6.8414,""AN10"":-4.5899,""SPEED"":4.949185378350189E-4,""ID"":538.0,""TIMESTAMP"":""2020-06-09 11:53:36""}"
6238.0,"{""AN3"":4.8755,""AN4"":-2.0154,""AN5"":2.2661,""AN6"":1.5591,""AN7"":-5.0183,""AN8"":-15.385,""AN9"":-1.5652,""AN10"":-4.0131,""SPEED"":2.985619872142304E-4,""ID"":541.0,""TIMESTAMP"":""2020-06-09 11:53:39""}"
9876.0,"{""AN3"":-2.3879,""AN4"":-0.14149,""AN5"":-4.0468,""AN6"":1.7383,""AN7"":1.3229,""AN8"":9.9307,""AN9"":1.484,""AN10"":-2.686,""SPEED"":3.044780756457763E-4,""ID"":563.0,""TIMESTAMP"":""2020-06-09 11:54:01""}"
58351.0,"{""AN3"":-1.1787,""AN4"":-1.5795,""AN5"":6.0736,""AN6"":2.4812,""AN7"":-3.3728,""AN8"":7.1527,""AN9"":5.6037,""AN10"":-5.625,""SPEED"":5.139528072825777E-4,""ID"":714.0,""TIMESTAMP"":""2020-06-09 11:56:32""}"
78701.0,"{""AN3"":0.37382,""AN4"":-1.3659,""AN5"":0.21618,""AN6"":3.0715,""AN7"":-0.36208,""AN8"":-5.8278,""AN9"":4.6176,""AN10"":0.48463,""SPEED"":4.88632996181065E-4,""ID"":548.0,""TIMESTAMP"":""2020-06-09 11:53:46""}"
51560.0,"{""AN3"":-2.5837,""AN4"":-1.7684,""AN5"":3.9586,""AN6"":6.3159,""AN7"":-3.2046,""AN8"":-5.2377,""AN9"":3.21,""AN10"":-1.5714,""SPEED"":2.6328669931436456E-5,""ID"":663.0,""TIMESTAMP"":""2020-06-09 11:55:41""}"
23166.0,"{""AN3"":1.9445,""AN4"":-5.9043,""AN5"":-1.6738,""AN6"":-1.2644,""AN7"":4.0235,""AN8"":0.92496,""AN9"":7.5679,""AN10"":-12.266,""SPEED"":5.945295828170382E-4,""ID"":552.0,""TIMESTAMP"":""2020-06-09 11:53:50""}"
25906.0,"{""AN3"":3.0683,""AN4"":3.6831,""AN5"":-5.112,""AN6"":1.1954,""AN7"":-0.31032,""AN8"":-1.8687,""AN9"":-10.149,""AN10"":-1.4244,""SPEED"":9.191088543952042E-4,""ID"":573.0,""TIMESTAMP"":""2020-06-09 11:54:11""}"
67244.0,"{""AN3"":-3.9046,""AN4"":-0.27138,""AN5"":1.9962,""AN6"":3.8256,""AN7"":8.6743,""AN8"":4.8021,""AN9"":14.425,""AN10"":5.5273,""SPEED"":8.379980208654521E-4,""ID"":574.0,""TIMESTAMP"":""2020-06-09 11:54:12""}"
54692.0,"{""AN3"":-5.4433,""AN4"":1.1436,""AN5"":-7.3368,""AN6"":-4.1661,""AN7"":2.6679,""AN8"":-10.335,""AN9"":11.308,""AN10"":0.6448,""SPEED"":1.1511216046422846E-4,""ID"":582.0,""TIMESTAMP"":""2020-06-09 11:54:20""}"
21092.0,"{""AN3"":-5.83,""AN4"":-3.1672,""AN5"":9.8499,""AN6"":8.2941,""AN7"":-1.0019,""AN8"":11.293,""AN9"":-5.9022,""AN10"":-0.76562,""SPEED"":5.659018787348454E-4,""ID"":703.0,""TIMESTAMP"":""2020-06-09 11:56:21""}"
56966.0,"{""AN3"":-3.8531,""AN4"":2.5162,""AN5"":-1.2737,""AN6"":-4.6773,""AN7"":0.13327,""AN8"":-9.76,""AN9"":-2.7372,""AN10"":0.78111,""SPEED"":7.711139315145862E-4,""ID"":669.0,""TIMESTAMP"":""2020-06-09 11:55:47""}"
26251.0,"{""AN3"":-3.856,""AN4"":-1.5958,""AN5"":0.33585,""AN6"":-2.7021,""AN7"":-8.0172,""AN8"":2.288,""AN9"":-9.6543,""AN10"":-0.76542,""SPEED"":1.342829014529232E-4,""ID"":613.0,""TIMESTAMP"":""2020-06-09 11:54:51""}"
70977.0,"{""AN3"":-0.37437,""AN4"":1.5084,""AN5"":-1.4072,""AN6"":2.0611,""AN7"":-4.9701,""AN8"":7.3936,""AN9"":-3.3017,""AN10"":1.2878,""SPEED"":6.632125874520193E-4,""ID"":519.0,""TIMESTAMP"":""2020-06-09 11:53:17""}"
22790.0,"{""AN3"":-0.43966,""AN4"":0.5882,""AN5"":-1.6874,""AN6"":-7.5556,""AN7"":-2.3226,""AN8"":-1.937,""AN9"":-10.582,""AN10"":6.3539,""SPEED"":2.731508112002273E-4,""ID"":691.0,""TIMESTAMP"":""2020-06-09 11:56:09""}"
67944.0,"{""AN3"":-1.4745,""AN4"":4.8019,""AN5"":-4.2025,""AN6"":-4.1262,""AN7"":6.5918,""AN8"":-4.2137,""AN9"":17.852,""AN10"":-1.1729,""SPEED"":3.9554988458366335E-4,""ID"":618.0,""TIMESTAMP"":""2020-06-09 11:54:56""}"
29179.0,"{""AN3"":-3.2065,""AN4"":8.2694,""AN5"":1.302,""AN6"":3.1944,""AN7"":-6.3031,""AN8"":3.1295,""AN9"":-14.783,""AN10"":6.829,""SPEED"":5.257901096888584E-5,""ID"":715.0,""TIMESTAMP"":""2020-06-09 11:56:33""}"
30706.0,"{""AN3"":0.49974,""AN4"":5.5209,""AN5"":-1.8689,""AN6"":-1.6758,""AN7"":1.0662,""AN8"":-10.744,""AN9"":-1.5851,""AN10"":6.6946,""SPEED"":2.8378693937207325E-4,""ID"":608.0,""TIMESTAMP"":""2020-06-09 11:54:46""}"
42017.0,"{""AN3"":3.7871,""AN4"":-8.5459,""AN5"":4.3666,""AN6"":2.0173,""AN7"":-1.1981,""AN8"":5.6807,""AN9"":7.9459,""AN10"":7.7223,""SPEED"":3.1200666562519454E-4,""ID"":500.0,""TIMESTAMP"":""2020-06-09 11:52:58""}"
46670.0,"{""AN3"":3.4665,""AN4"":-3.473,""AN5"":5.229,""AN6"":-4.045,""AN7"":0.059017,""AN8"":3.8083,""AN9"":8.6819,""AN10"":-3.5237,""SPEED"":1.896686829217692E-4,""ID"":548.0,""TIMESTAMP"":""2020-06-09 11:53:46""}"
52255.0,"{""AN3"":2.9898,""AN4"":0.20431,""AN5"":3.7867,""AN6"":1.9322,""AN7"":6.7177,""AN8"":9.0417,""AN9"":18.785,""AN10"":-1.3725,""SPEED"":9.319773363944075E-4,""ID"":692.0,""TIMESTAMP"":""2020-06-09 11:56:10""}"
49780.0,"{""AN3"":0.90272,""AN4"":-0.47985,""AN5"":5.9353,""AN6"":-2.1643,""AN7"":-5.0452,""AN8"":5.8393,""AN9"":8.7201,""AN10"":3.6767,""SPEED"":7.587093882781809E-4,""ID"":529.0,""TIMESTAMP"":""2020-06-09 11:53:27""}"
49825.0,"{""AN3"":-4.4513,""AN4"":2.3576,""AN5"":-1.0767,""AN6"":-4.8143,""AN7"":2.8268,""AN8"":8.6625,""AN9"":12.09,""AN10"":-4.4413,""SPEED"":6.628491123015533E-4,""ID"":712.0,""TIMESTAMP"":""2020-06-09 11:56:30""}"
